"","","","m_true_new"
"180",-0.5,-1.6,-1
"181",-0.4,-1.6,-1
"182",-0.3,-1.6,-1
"183",-0.2,-1.6,-1
"184",-0.0999999999999999,-1.6,-1
"185",0,-1.6,1
"186",0.1,-1.6,1
"187",0.2,-1.6,1
"188",0.3,-1.6,1
"189",0.4,-1.6,1
"190",0.5,-1.6,1
"191",0.6,-1.6,1
"192",0.7,-1.6,1
"193",0.8,-1.6,1
"194",0.9,-1.6,1
"195",1,-1.6,1
"196",1.1,-1.6,1
"197",1.2,-1.6,1
"198",1.3,-1.6,-1
"199",1.4,-1.6,-1
"200",1.5,-1.6,-1
"201",1.6,-1.6,-1
"202",1.7,-1.6,-1
"203",1.8,-1.6,-1
"204",1.9,-1.6,-1
"205",2,-1.6,-1
"206",-2,-1.5,1
"207",-1.9,-1.5,1
"208",-1.8,-1.5,1
"209",-1.7,-1.5,1
"210",-1.6,-1.5,1
"211",-1.5,-1.5,1
"212",-1.4,-1.5,1
"213",-1.3,-1.5,-1
"214",-1.2,-1.5,-1
"215",-1.1,-1.5,-1
"216",-1,-1.5,-1
"217",-0.9,-1.5,-1
"218",-0.8,-1.5,-1
"219",-0.7,-1.5,-1
"220",-0.6,-1.5,-1
"221",-0.5,-1.5,-1
"222",-0.4,-1.5,-1
"223",-0.3,-1.5,-1
"224",-0.2,-1.5,-1
"225",-0.0999999999999999,-1.5,-1
"226",0,-1.5,1
"227",0.1,-1.5,1
"228",0.2,-1.5,1
"229",0.3,-1.5,1
"230",0.4,-1.5,1
"231",0.5,-1.5,1
"232",0.6,-1.5,1
"233",0.7,-1.5,1
"234",0.8,-1.5,1
"235",0.9,-1.5,1
"236",1,-1.5,1
"237",1.1,-1.5,1
"238",1.2,-1.5,1
"239",1.3,-1.5,1
"240",1.4,-1.5,-1
"241",1.5,-1.5,-1
"242",1.6,-1.5,-1
"243",1.7,-1.5,-1
"244",1.8,-1.5,-1
"245",1.9,-1.5,-1
"246",2,-1.5,-1
"247",-2,-1.4,1
"248",-1.9,-1.4,1
"249",-1.8,-1.4,1
"250",-1.7,-1.4,1
"251",-1.6,-1.4,1
"252",-1.5,-1.4,1
"253",-1.4,-1.4,-1
"254",-1.3,-1.4,-1
"255",-1.2,-1.4,-1
"256",-1.1,-1.4,-1
"257",-1,-1.4,-1
"258",-0.9,-1.4,-1
"259",-0.8,-1.4,-1
"260",-0.7,-1.4,-1
"261",-0.6,-1.4,-1
"262",-0.5,-1.4,-1
"263",-0.4,-1.4,-1
"264",-0.3,-1.4,-1
"265",-0.2,-1.4,-1
"266",-0.0999999999999999,-1.4,-1
"267",0,-1.4,1
"268",0.1,-1.4,1
"269",0.2,-1.4,1
"270",0.3,-1.4,1
"271",0.4,-1.4,1
"272",0.5,-1.4,1
"273",0.6,-1.4,1
"274",0.7,-1.4,1
"275",0.8,-1.4,1
"276",0.9,-1.4,1
"277",1,-1.4,1
"278",1.1,-1.4,1
"279",1.2,-1.4,1
"280",1.3,-1.4,1
"281",1.4,-1.4,1
"282",1.5,-1.4,-1
"283",1.6,-1.4,-1
"284",1.7,-1.4,-1
"285",1.8,-1.4,-1
"286",1.9,-1.4,-1
"287",2,-1.4,-1
"288",-2,-1.3,1
"289",-1.9,-1.3,1
"290",-1.8,-1.3,1
"291",-1.7,-1.3,1
"292",-1.6,-1.3,1
"293",-1.5,-1.3,-1
"294",-1.4,-1.3,-1
"295",-1.3,-1.3,-1
"296",-1.2,-1.3,-1
"297",-1.1,-1.3,-1
"298",-1,-1.3,-1
"299",-0.9,-1.3,-1
"300",-0.8,-1.3,-1
"301",-0.7,-1.3,-1
"302",-0.6,-1.3,-1
"303",-0.5,-1.3,-1
"304",-0.4,-1.3,-1
"305",-0.3,-1.3,-1
"306",-0.2,-1.3,-1
"307",-0.0999999999999999,-1.3,-1
"308",0,-1.3,1
"309",0.1,-1.3,1
"310",0.2,-1.3,1
"311",0.3,-1.3,1
"312",0.4,-1.3,1
"313",0.5,-1.3,1
"314",0.6,-1.3,1
"315",0.7,-1.3,1
"316",0.8,-1.3,1
"317",0.9,-1.3,1
"318",1,-1.3,1
"319",1.1,-1.3,1
"320",1.2,-1.3,1
"321",1.3,-1.3,1
"322",1.4,-1.3,1
"323",1.5,-1.3,1
"324",1.6,-1.3,-1
"325",1.7,-1.3,-1
"326",1.8,-1.3,-1
"327",1.9,-1.3,-1
"328",2,-1.3,-1
"329",-2,-1.2,1
"330",-1.9,-1.2,1
"331",-1.8,-1.2,1
"332",-1.7,-1.2,1
"333",-1.6,-1.2,-1
"334",-1.5,-1.2,-1
"335",-1.4,-1.2,-1
"336",-1.3,-1.2,-1
"337",-1.2,-1.2,-1
"338",-1.1,-1.2,-1
"339",-1,-1.2,-1
"340",-0.9,-1.2,-1
"341",-0.8,-1.2,-1
"342",-0.7,-1.2,-1
"343",-0.6,-1.2,-1
"344",-0.5,-1.2,-1
"345",-0.4,-1.2,-1
"346",-0.3,-1.2,-1
"347",-0.2,-1.2,-1
"348",-0.0999999999999999,-1.2,-1
"349",0,-1.2,1
"350",0.1,-1.2,1
"351",0.2,-1.2,1
"352",0.3,-1.2,1
"353",0.4,-1.2,1
"354",0.5,-1.2,1
"355",0.6,-1.2,1
"356",0.7,-1.2,1
"357",0.8,-1.2,1
"358",0.9,-1.2,1
"359",1,-1.2,1
"360",1.1,-1.2,1
"361",1.2,-1.2,1
"362",1.3,-1.2,1
"363",1.4,-1.2,1
"364",1.5,-1.2,1
"365",1.6,-1.2,1
"366",1.7,-1.2,-1
"367",1.8,-1.2,-1
"368",1.9,-1.2,-1
"369",2,-1.2,-1
"370",-2,-1.1,1
"371",-1.9,-1.1,1
"372",-1.8,-1.1,-1
"373",-1.7,-1.1,-1
"374",-1.6,-1.1,-1
"375",-1.5,-1.1,-1
"376",-1.4,-1.1,-1
"377",-1.3,-1.1,-1
"378",-1.2,-1.1,-1
"379",-1.1,-1.1,-1
"380",-1,-1.1,-1
"381",-0.9,-1.1,-1
"382",-0.8,-1.1,-1
"383",-0.7,-1.1,-1
"384",-0.6,-1.1,-1
"385",-0.5,-1.1,-1
"386",-0.4,-1.1,-1
"387",-0.3,-1.1,-1
"388",-0.2,-1.1,-1
"389",-0.0999999999999999,-1.1,-1
"390",0,-1.1,1
"391",0.1,-1.1,1
"392",0.2,-1.1,1
"393",0.3,-1.1,1
"394",0.4,-1.1,1
"395",0.5,-1.1,1
"396",0.6,-1.1,1
"397",0.7,-1.1,1
"398",0.8,-1.1,1
"399",0.9,-1.1,1
"400",1,-1.1,1
"401",1.1,-1.1,1
"402",1.2,-1.1,1
"403",1.3,-1.1,1
"404",1.4,-1.1,1
"405",1.5,-1.1,1
"406",1.6,-1.1,1
"407",1.7,-1.1,1
"408",1.8,-1.1,1
"409",1.9,-1.1,-1
"410",2,-1.1,-1
"411",-2,-1,-1
"412",-1.9,-1,-1
"413",-1.8,-1,-1
"414",-1.7,-1,-1
"415",-1.6,-1,-1
"416",-1.5,-1,-1
"417",-1.4,-1,-1
"418",-1.3,-1,-1
"419",-1.2,-1,-1
"420",-1.1,-1,-1
"421",-1,-1,-1
"422",-0.9,-1,-1
"423",-0.8,-1,-1
"424",-0.7,-1,-1
"425",-0.6,-1,-1
"426",-0.5,-1,-1
"427",-0.4,-1,-1
"428",-0.3,-1,-1
"429",-0.2,-1,-1
"430",-0.0999999999999999,-1,-1
"431",0,-1,1
"432",0.1,-1,1
"433",0.2,-1,1
"434",0.3,-1,1
"435",0.4,-1,1
"436",0.5,-1,1
"437",0.6,-1,1
"438",0.7,-1,1
"439",0.8,-1,1
"440",0.9,-1,1
"441",1,-1,1
"442",1.1,-1,1
"443",1.2,-1,1
"444",1.3,-1,1
"445",1.4,-1,1
"446",1.5,-1,1
"447",1.6,-1,1
"448",1.7,-1,1
"449",1.8,-1,1
"450",1.9,-1,1
"451",2,-1,1
"452",-2,-0.9,-1
"453",-1.9,-0.9,-1
"454",-1.8,-0.9,-1
"455",-1.7,-0.9,-1
"456",-1.6,-0.9,-1
"457",-1.5,-0.9,-1
"458",-1.4,-0.9,-1
"459",-1.3,-0.9,-1
"460",-1.2,-0.9,-1
"461",-1.1,-0.9,-1
"462",-1,-0.9,-1
"463",-0.9,-0.9,-1
"464",-0.8,-0.9,-1
"465",-0.7,-0.9,-1
"466",-0.6,-0.9,-1
"467",-0.5,-0.9,-1
"468",-0.4,-0.9,-1
"469",-0.3,-0.9,-1
"470",-0.2,-0.9,-1
"471",-0.0999999999999999,-0.9,-1
"472",0,-0.9,1
"473",0.1,-0.9,1
"474",0.2,-0.9,1
"475",0.3,-0.9,1
"476",0.4,-0.9,1
"477",0.5,-0.9,1
"478",0.6,-0.9,1
"479",0.7,-0.9,1
"480",0.8,-0.9,1
"481",0.9,-0.9,1
"482",1,-0.9,1
"483",1.1,-0.9,1
"484",1.2,-0.9,1
"485",1.3,-0.9,1
"486",1.4,-0.9,1
"487",1.5,-0.9,1
"488",1.6,-0.9,1
"489",1.7,-0.9,1
"490",1.8,-0.9,1
"491",1.9,-0.9,1
"492",2,-0.9,1
"493",-2,-0.8,-1
"494",-1.9,-0.8,-1
"495",-1.8,-0.8,-1
"496",-1.7,-0.8,-1
"497",-1.6,-0.8,-1
"498",-1.5,-0.8,-1
"499",-1.4,-0.8,-1
"500",-1.3,-0.8,-1
"501",-1.2,-0.8,-1
"502",-1.1,-0.8,-1
"503",-1,-0.8,-1
"504",-0.9,-0.8,-1
"505",-0.8,-0.8,-1
"506",-0.7,-0.8,-1
"507",-0.6,-0.8,-1
"508",-0.5,-0.8,-1
"509",-0.4,-0.8,-1
"510",-0.3,-0.8,-1
"511",-0.2,-0.8,-1
"512",-0.0999999999999999,-0.8,-1
"513",0,-0.8,1
"514",0.1,-0.8,1
"515",0.2,-0.8,1
"516",0.3,-0.8,1
"517",0.4,-0.8,1
"518",0.5,-0.8,1
"519",0.6,-0.8,1
"520",0.7,-0.8,1
"521",0.8,-0.8,1
"522",0.9,-0.8,1
"523",1,-0.8,1
"524",1.1,-0.8,1
"525",1.2,-0.8,1
"526",1.3,-0.8,1
"527",1.4,-0.8,1
"528",1.5,-0.8,1
"529",1.6,-0.8,1
"530",1.7,-0.8,1
"531",1.8,-0.8,1
"532",1.9,-0.8,1
"533",2,-0.8,1
"534",-2,-0.7,-1
"535",-1.9,-0.7,-1
"536",-1.8,-0.7,-1
"537",-1.7,-0.7,-1
"538",-1.6,-0.7,-1
"539",-1.5,-0.7,-1
"540",-1.4,-0.7,-1
"541",-1.3,-0.7,-1
"542",-1.2,-0.7,-1
"543",-1.1,-0.7,-1
"544",-1,-0.7,-1
"545",-0.9,-0.7,-1
"546",-0.8,-0.7,-1
"547",-0.7,-0.7,-1
"548",-0.6,-0.7,-1
"549",-0.5,-0.7,-1
"550",-0.4,-0.7,-1
"551",-0.3,-0.7,-1
"552",-0.2,-0.7,-1
"553",-0.0999999999999999,-0.7,-1
"554",0,-0.7,1
"555",0.1,-0.7,1
"556",0.2,-0.7,1
"557",0.3,-0.7,1
"558",0.4,-0.7,1
"559",0.5,-0.7,1
"560",0.6,-0.7,1
"561",0.7,-0.7,1
"562",0.8,-0.7,1
"563",0.9,-0.7,1
"564",1,-0.7,1
"565",1.1,-0.7,1
"566",1.2,-0.7,1
"567",1.3,-0.7,1
"568",1.4,-0.7,1
"569",1.5,-0.7,1
"570",1.6,-0.7,1
"571",1.7,-0.7,1
"572",1.8,-0.7,1
"573",1.9,-0.7,1
"574",2,-0.7,1
"575",-2,-0.6,-1
"576",-1.9,-0.6,-1
"577",-1.8,-0.6,-1
"578",-1.7,-0.6,-1
"579",-1.6,-0.6,-1
"580",-1.5,-0.6,-1
"581",-1.4,-0.6,-1
"582",-1.3,-0.6,-1
"583",-1.2,-0.6,-1
"584",-1.1,-0.6,-1
"585",-1,-0.6,-1
"586",-0.9,-0.6,-1
"587",-0.8,-0.6,-1
"588",-0.7,-0.6,-1
"589",-0.6,-0.6,-1
"590",-0.5,-0.6,-1
"591",-0.4,-0.6,-1
"592",-0.3,-0.6,-1
"593",-0.2,-0.6,-1
"594",-0.0999999999999999,-0.6,-1
"595",0,-0.6,1
"596",0.1,-0.6,1
"597",0.2,-0.6,1
"598",0.3,-0.6,1
"599",0.4,-0.6,1
"600",0.5,-0.6,1
"601",0.6,-0.6,1
"602",0.7,-0.6,1
"603",0.8,-0.6,1
"604",0.9,-0.6,1
"605",1,-0.6,1
"606",1.1,-0.6,1
"607",1.2,-0.6,1
"608",1.3,-0.6,1
"609",1.4,-0.6,1
"610",1.5,-0.6,1
"611",1.6,-0.6,1
"612",1.7,-0.6,1
"613",1.8,-0.6,1
"614",1.9,-0.6,1
"615",2,-0.6,1
"616",-2,-0.5,-1
"617",-1.9,-0.5,-1
"618",-1.8,-0.5,-1
"619",-1.7,-0.5,-1
"620",-1.6,-0.5,-1
"621",-1.5,-0.5,-1
"622",-1.4,-0.5,-1
"623",-1.3,-0.5,-1
"624",-1.2,-0.5,-1
"625",-1.1,-0.5,-1
"626",-1,-0.5,-1
"627",-0.9,-0.5,-1
"628",-0.8,-0.5,-1
"629",-0.7,-0.5,-1
"630",-0.6,-0.5,-1
"631",-0.5,-0.5,-1
"632",-0.4,-0.5,-1
"633",-0.3,-0.5,-1
"634",-0.2,-0.5,-1
"635",-0.0999999999999999,-0.5,-1
"636",0,-0.5,1
"637",0.1,-0.5,1
"638",0.2,-0.5,1
"639",0.3,-0.5,1
"640",0.4,-0.5,1
"641",0.5,-0.5,1
"642",0.6,-0.5,1
"643",0.7,-0.5,1
"644",0.8,-0.5,1
"645",0.9,-0.5,1
"646",1,-0.5,1
"647",1.1,-0.5,1
"648",1.2,-0.5,1
"649",1.3,-0.5,1
"650",1.4,-0.5,1
"651",1.5,-0.5,1
"652",1.6,-0.5,1
"653",1.7,-0.5,1
"654",1.8,-0.5,1
"655",1.9,-0.5,1
"656",2,-0.5,1
"657",-2,-0.4,-1
"658",-1.9,-0.4,-1
"659",-1.8,-0.4,-1
"660",-1.7,-0.4,-1
"661",-1.6,-0.4,-1
"662",-1.5,-0.4,-1
"663",-1.4,-0.4,-1
"664",-1.3,-0.4,-1
"665",-1.2,-0.4,-1
"666",-1.1,-0.4,-1
"667",-1,-0.4,-1
"668",-0.9,-0.4,-1
"669",-0.8,-0.4,-1
"670",-0.7,-0.4,-1
"671",-0.6,-0.4,-1
"672",-0.5,-0.4,-1
"673",-0.4,-0.4,-1
"674",-0.3,-0.4,-1
"675",-0.2,-0.4,-1
"676",-0.0999999999999999,-0.4,-1
"677",0,-0.4,1
"678",0.1,-0.4,1
"679",0.2,-0.4,1
"680",0.3,-0.4,1
"681",0.4,-0.4,1
"682",0.5,-0.4,1
"683",0.6,-0.4,1
"684",0.7,-0.4,1
"685",0.8,-0.4,1
"686",0.9,-0.4,1
"687",1,-0.4,1
"688",1.1,-0.4,1
"689",1.2,-0.4,1
"690",1.3,-0.4,1
"691",1.4,-0.4,1
"692",1.5,-0.4,1
"693",1.6,-0.4,1
"694",1.7,-0.4,1
"695",1.8,-0.4,1
"696",1.9,-0.4,1
"697",2,-0.4,1
"698",-2,-0.3,-1
"699",-1.9,-0.3,-1
"700",-1.8,-0.3,-1
"701",-1.7,-0.3,-1
"702",-1.6,-0.3,-1
"703",-1.5,-0.3,-1
"704",-1.4,-0.3,-1
"705",-1.3,-0.3,-1
"706",-1.2,-0.3,-1
"707",-1.1,-0.3,-1
"708",-1,-0.3,-1
"709",-0.9,-0.3,-1
"710",-0.8,-0.3,-1
"711",-0.7,-0.3,-1
"712",-0.6,-0.3,-1
"713",-0.5,-0.3,-1
"714",-0.4,-0.3,-1
"715",-0.3,-0.3,-1
"716",-0.2,-0.3,-1
"717",-0.0999999999999999,-0.3,-1
"718",0,-0.3,1
"719",0.1,-0.3,1
"720",0.2,-0.3,1
"721",0.3,-0.3,1
"722",0.4,-0.3,1
"723",0.5,-0.3,1
"724",0.6,-0.3,1
"725",0.7,-0.3,1
"726",0.8,-0.3,1
"727",0.9,-0.3,1
"728",1,-0.3,1
"729",1.1,-0.3,1
"730",1.2,-0.3,1
"731",1.3,-0.3,1
"732",1.4,-0.3,1
"733",1.5,-0.3,1
"734",1.6,-0.3,1
"735",1.7,-0.3,1
"736",1.8,-0.3,1
"737",1.9,-0.3,1
"738",2,-0.3,1
"739",-2,-0.2,-1
"740",-1.9,-0.2,-1
"741",-1.8,-0.2,-1
"742",-1.7,-0.2,-1
"743",-1.6,-0.2,-1
"744",-1.5,-0.2,-1
"745",-1.4,-0.2,-1
"746",-1.3,-0.2,-1
"747",-1.2,-0.2,-1
"748",-1.1,-0.2,-1
"749",-1,-0.2,-1
"750",-0.9,-0.2,-1
"751",-0.8,-0.2,-1
"752",-0.7,-0.2,-1
"753",-0.6,-0.2,-1
"754",-0.5,-0.2,-1
"755",-0.4,-0.2,-1
"756",-0.3,-0.2,-1
"757",-0.2,-0.2,-1
"758",-0.0999999999999999,-0.2,-1
"759",0,-0.2,1
"760",0.1,-0.2,1
"761",0.2,-0.2,1
"762",0.3,-0.2,1
"763",0.4,-0.2,1
"764",0.5,-0.2,1
"765",0.6,-0.2,1
"766",0.7,-0.2,1
"767",0.8,-0.2,1
"768",0.9,-0.2,1
"769",1,-0.2,1
"770",1.1,-0.2,1
"771",1.2,-0.2,1
"772",1.3,-0.2,1
"773",1.4,-0.2,1
"774",1.5,-0.2,1
"775",1.6,-0.2,1
"776",1.7,-0.2,1
"777",1.8,-0.2,1
"778",1.9,-0.2,1
"779",2,-0.2,1
"780",-2,-0.0999999999999999,-1
"781",-1.9,-0.0999999999999999,-1
"782",-1.8,-0.0999999999999999,-1
"783",-1.7,-0.0999999999999999,-1
"784",-1.6,-0.0999999999999999,-1
"785",-1.5,-0.0999999999999999,-1
"786",-1.4,-0.0999999999999999,-1
"787",-1.3,-0.0999999999999999,-1
"788",-1.2,-0.0999999999999999,-1
"789",-1.1,-0.0999999999999999,-1
"790",-1,-0.0999999999999999,-1
"791",-0.9,-0.0999999999999999,-1
"792",-0.8,-0.0999999999999999,-1
"793",-0.7,-0.0999999999999999,-1
"794",-0.6,-0.0999999999999999,-1
"795",-0.5,-0.0999999999999999,-1
"796",-0.4,-0.0999999999999999,-1
"797",-0.3,-0.0999999999999999,-1
"798",-0.2,-0.0999999999999999,-1
"799",-0.0999999999999999,-0.0999999999999999,-1
"800",0,-0.0999999999999999,1
"801",0.1,-0.0999999999999999,1
"802",0.2,-0.0999999999999999,1
"803",0.3,-0.0999999999999999,1
"804",0.4,-0.0999999999999999,1
"805",0.5,-0.0999999999999999,1
"806",0.6,-0.0999999999999999,1
"807",0.7,-0.0999999999999999,1
"808",0.8,-0.0999999999999999,1
"809",0.9,-0.0999999999999999,1
"810",1,-0.0999999999999999,1
"811",1.1,-0.0999999999999999,1
"812",1.2,-0.0999999999999999,1
"813",1.3,-0.0999999999999999,1
"814",1.4,-0.0999999999999999,1
"815",1.5,-0.0999999999999999,1
"816",1.6,-0.0999999999999999,1
"817",1.7,-0.0999999999999999,1
"818",1.8,-0.0999999999999999,1
"819",1.9,-0.0999999999999999,1
"820",2,-0.0999999999999999,1
"821",-2,0,1
"822",-1.9,0,1
"823",-1.8,0,1
"824",-1.7,0,1
"825",-1.6,0,1
"826",-1.5,0,1
"827",-1.4,0,1
"828",-1.3,0,1
"829",-1.2,0,1
"830",-1.1,0,1
"831",-1,0,1
"832",-0.9,0,1
"833",-0.8,0,1
"834",-0.7,0,1
"835",-0.6,0,1
"836",-0.5,0,1
"837",-0.4,0,1
"838",-0.3,0,1
"839",-0.2,0,1
"840",-0.0999999999999999,0,1
"841",0,0,1
"842",0.1,0,1
"843",0.2,0,1
"844",0.3,0,1
"845",0.4,0,1
"846",0.5,0,1
"847",0.6,0,1
"848",0.7,0,1
"849",0.8,0,1
"850",0.9,0,1
"851",1,0,1
"852",1.1,0,1
"853",1.2,0,1
"854",1.3,0,1
"855",1.4,0,1
"856",1.5,0,1
"857",1.6,0,1
"858",1.7,0,1
"859",1.8,0,1
"860",1.9,0,1
"861",2,0,1
"862",-2,0.1,1
"863",-1.9,0.1,1
"864",-1.8,0.1,1
"865",-1.7,0.1,1
"866",-1.6,0.1,1
"867",-1.5,0.1,1
"868",-1.4,0.1,1
"869",-1.3,0.1,1
"870",-1.2,0.1,1
"871",-1.1,0.1,1
"872",-1,0.1,1
"873",-0.9,0.1,1
"874",-0.8,0.1,1
"875",-0.7,0.1,1
"876",-0.6,0.1,1
"877",-0.5,0.1,1
"878",-0.4,0.1,1
"879",-0.3,0.1,1
"880",-0.2,0.1,1
"881",-0.0999999999999999,0.1,1
"882",0,0.1,1
"883",0.1,0.1,-1
"884",0.2,0.1,-1
"885",0.3,0.1,-1
"886",0.4,0.1,-1
"887",0.5,0.1,-1
"888",0.6,0.1,-1
"889",0.7,0.1,-1
"890",0.8,0.1,-1
"891",0.9,0.1,-1
"892",1,0.1,-1
"893",1.1,0.1,-1
"894",1.2,0.1,-1
"895",1.3,0.1,-1
"896",1.4,0.1,-1
"897",1.5,0.1,-1
"898",1.6,0.1,-1
"899",1.7,0.1,-1
"900",1.8,0.1,-1
"901",1.9,0.1,-1
"902",2,0.1,-1
"903",-2,0.2,1
"904",-1.9,0.2,1
"905",-1.8,0.2,1
"906",-1.7,0.2,1
"907",-1.6,0.2,1
"908",-1.5,0.2,1
"909",-1.4,0.2,1
"910",-1.3,0.2,1
"911",-1.2,0.2,1
"912",-1.1,0.2,1
"913",-1,0.2,1
"914",-0.9,0.2,1
"915",-0.8,0.2,1
"916",-0.7,0.2,1
"917",-0.6,0.2,1
"918",-0.5,0.2,1
"919",-0.4,0.2,1
"920",-0.3,0.2,1
"921",-0.2,0.2,1
"922",-0.0999999999999999,0.2,1
"923",0,0.2,1
"924",0.1,0.2,-1
"925",0.2,0.2,-1
"926",0.3,0.2,-1
"927",0.4,0.2,-1
"928",0.5,0.2,-1
"929",0.6,0.2,-1
"930",0.7,0.2,-1
"931",0.8,0.2,-1
"932",0.9,0.2,-1
"933",1,0.2,-1
"934",1.1,0.2,-1
"935",1.2,0.2,-1
"936",1.3,0.2,-1
"937",1.4,0.2,-1
"938",1.5,0.2,-1
"939",1.6,0.2,-1
"940",1.7,0.2,-1
"941",1.8,0.2,-1
"942",1.9,0.2,-1
"943",2,0.2,-1
"944",-2,0.3,1
"945",-1.9,0.3,1
"946",-1.8,0.3,1
"947",-1.7,0.3,1
"948",-1.6,0.3,1
"949",-1.5,0.3,1
"950",-1.4,0.3,1
"951",-1.3,0.3,1
"952",-1.2,0.3,1
"953",-1.1,0.3,1
"954",-1,0.3,1
