"","V1"
"374",1.73
"375",1.74
"376",1.75
"377",1.76
"378",1.77
"379",1.78
"380",1.79
"381",1.8
"382",1.81
"383",1.82
"384",1.83
"385",1.84
"386",1.85
"387",1.86
"388",1.87
"389",1.88
"390",1.89
"391",1.9
"392",1.91
"393",1.92
"394",1.93
"395",1.94
"396",1.95
"397",1.96
"398",1.97
"399",1.98
"400",1.99
"401",2
"402",2.01
"403",2.02
"404",2.03
"405",2.04
"406",2.05
"407",2.06
"408",2.07
"409",2.08
"410",2.09
"411",2.1
"412",2.11
"413",2.12
"414",2.13
"415",2.14
"416",2.15
"417",2.16
"418",2.17
"419",2.18
"420",2.19
"421",2.2
"422",2.21
"423",2.22
"424",2.23
"425",2.24
"426",2.25
"427",2.26
"428",2.27
"429",2.28
"430",2.29
"431",2.3
"432",2.31
"433",2.32
"434",2.33
"435",2.34
"436",2.35
"437",2.36
"438",2.37
"439",2.38
"440",2.39
"441",2.4
"442",2.41
"443",2.42
"444",2.43
"445",2.44
"446",2.45
"447",2.46
"448",2.47
"449",2.48
"450",2.49
"451",2.5
"452",2.51
"453",2.52
"454",2.53
"455",2.54
"456",2.55
"457",2.56
"458",2.57
"459",2.58
"460",2.59
"461",2.6
"462",2.61
"463",2.62
"464",2.63
"465",2.64
"466",2.65
"467",2.66
"468",2.67
"469",2.68
"470",2.69
"471",2.7
"472",2.71
"473",2.72
"474",2.73
"475",2.74
"476",2.75
"477",2.76
"478",2.77
"479",2.78
"480",2.79
"481",2.8
"482",2.81
"483",2.82
"484",2.83
"485",2.84
"486",2.85
"487",2.86
"488",2.87
"489",2.88
"490",2.89
"491",2.9
"492",2.91
"493",2.92
"494",2.93
"495",2.94
"496",2.95
"497",2.96
"498",2.97
"499",2.98
"500",2.99
"501",3
"502",3.01
"503",3.02
"504",3.03
"505",3.04
"506",3.05
"507",3.06
"508",3.07
"509",3.08
"510",3.09
"511",3.1
"512",3.11
"513",3.12
"514",3.13
"515",3.14
"516",3.15
"517",3.16
"518",3.17
"519",3.18
"520",3.19
"521",3.2
"522",3.21
"523",3.22
"524",3.23
"525",3.24
"526",3.25
"527",3.26
"528",3.27
"529",3.28
"530",3.29
"531",3.3
"532",3.31
"533",3.32
"534",3.33
"535",3.34
"536",3.35
"537",3.36
"538",3.37
"539",3.38
"540",3.39
"541",3.4
"542",3.41
"543",3.42
"544",3.43
"545",3.44
"546",3.45
"547",3.46
"548",3.47
"549",3.48
"550",3.49
"551",3.5
"552",3.51
"553",3.52
"554",3.53
"555",3.54
"556",3.55
"557",3.56
"558",3.57
"559",3.58
"560",3.59
"561",3.6
"562",3.61
"563",3.62
"564",3.63
"565",3.64
"566",3.65
"567",3.66
"568",3.67
"569",3.68
"570",3.69
"571",3.7
"572",3.71
"573",3.72
"574",3.73
"575",3.74
"576",3.75
"577",3.76
"578",3.77
"579",3.78
"580",3.79
"581",3.8
"582",3.81
"583",3.82
"584",3.83
"585",3.84
"586",3.85
"587",3.86
"588",3.87
"589",3.88
"590",3.89
"591",3.9
"592",3.91
"593",3.92
"594",3.93
"595",3.94
"596",3.95
"597",3.96
"598",3.97
"599",3.98
"600",3.99
"601",4
"602",4.01
"603",4.02
"604",4.03
"605",4.04
"606",4.05
"607",4.06
"608",4.07
"609",4.08
"610",4.09
"611",4.1
"612",4.11
"613",4.12
"614",4.13
"615",4.14
"616",4.15
"617",4.16
"618",4.17
"619",4.18
"620",4.19
"621",4.2
"622",4.21
"623",4.22
"624",4.23
"625",4.24
"626",4.25
"627",4.26
"628",4.27
"629",4.28
"630",4.29
"631",4.3
"632",4.31
"633",4.32
"634",4.33
"635",4.34
"636",4.35
"637",4.36
"638",4.37
"639",4.38
"640",4.39
"641",4.4
"642",4.41
"643",4.42
"644",4.43
"645",4.44
"646",4.45
"647",4.46
"648",4.47
"649",4.48
"650",4.49
"651",4.5
"652",4.51
"653",4.52
"654",4.53
"655",4.54
"656",4.55
"657",4.56
"658",4.57
"659",4.58
"660",4.59
"661",4.6
"662",4.61
"663",4.62
"664",4.63
"665",4.64
"666",4.65
"667",4.66
"668",4.67
"669",4.68
"670",4.69
"671",4.7
"672",4.71
"673",4.72
"674",4.73
"675",4.74
"676",4.75
"677",4.76
"678",4.77
"679",4.78
"680",4.79
"681",4.8
"682",4.81
"683",4.82
"684",4.83
"685",4.84
"686",4.85
"687",4.86
"688",4.87
"689",4.88
"690",4.89
"691",4.9
"692",4.91
"693",4.92
"694",4.93
"695",4.94
"696",4.95
"697",4.96
"698",4.97
"699",4.98
"700",4.99
"701",5
"702",5.01
"703",5.02
"704",5.03
"705",5.04
"706",5.05
"707",5.06
"708",5.07
"709",5.08
"710",5.09
"711",5.1
"712",5.11
"713",5.12
"714",5.13
"715",5.14
"716",5.15
"717",5.16
"718",5.17
"719",5.18
"720",5.19
"721",5.2
"722",5.21
"723",5.22
"724",5.23
"725",5.24
"726",5.25
"727",5.26
"728",5.27
"729",5.28
"730",5.29
"731",5.3
"732",5.31
"733",5.32
"734",5.33
"735",5.34
"736",5.35
"737",5.36
"738",5.37
"739",5.38
"740",5.39
"741",5.4
"742",5.41
"743",5.42
"744",5.43
"745",5.44
"746",5.45
"747",5.46
"748",5.47
"749",5.48
"750",5.49
"751",5.5
"752",5.51
"753",5.52
"754",5.53
"755",5.54
"756",5.55
"757",5.56
"758",5.57
"759",5.58
"760",5.59
"761",5.6
"762",5.61
"763",5.62
"764",5.63
"765",5.64
"766",5.65
"767",5.66
"768",5.67
"769",5.68
"770",5.69
"771",5.7
"772",5.71
"773",5.72
"774",5.73
"775",5.74
"776",5.75
"777",5.76
"778",5.77
"779",5.78
"780",5.79
"781",5.8
"782",5.81
"783",5.82
"784",5.83
"785",5.84
"786",5.85
"787",5.86
"788",5.87
"789",5.88
"790",5.89
"791",5.9
"792",5.91
"793",5.92
"794",5.93
"795",5.94
"796",5.95
"797",5.96
"798",5.97
"799",5.98
"800",5.99
"801",6
"802",6.01
"803",6.02
"804",6.03
"805",6.04
"806",6.05
"807",6.06
"808",6.07
"809",6.08
"810",6.09
"811",6.1
"812",6.11
"813",6.12
"814",6.13
"815",6.14
"816",6.15
"817",6.16
"818",6.17
"819",6.18
"820",6.19
"821",6.2
"822",6.21
"823",6.22
"824",6.23
"825",6.24
"826",6.25
"827",6.26
"828",6.27
"829",6.28
"830",6.29
"831",6.3
"832",6.31
"833",6.32
"834",6.33
"835",6.34
"836",6.35
"837",6.36
"838",6.37
"839",6.38
"840",6.39
"841",6.4
"842",6.41
"843",6.42
"844",6.43
"845",6.44
"846",6.45
"847",6.46
"848",6.47
"849",6.48
"850",6.49
"851",6.5
"852",6.51
"853",6.52
"854",6.53
"855",6.54
"856",6.55
"857",6.56
"858",6.57
"859",6.58
"860",6.59
"861",6.6
"862",6.61
"863",6.62
"864",6.63
"865",6.64
"866",6.65
"867",6.66
"868",6.67
"869",6.68
"870",6.69
"871",6.7
"872",6.71
"873",6.72
"874",6.73
"875",6.74
"876",6.75
"877",6.76
"878",6.77
"879",6.78
"880",6.79
"881",6.8
"882",6.81
"883",6.82
"884",6.83
"885",6.84
"886",6.85
"887",6.86
"888",6.87
"889",6.88
"890",6.89
"891",6.9
"892",6.91
"893",6.92
"894",6.93
"895",6.94
"896",6.95
"897",6.96
"898",6.97
"899",6.98
"900",6.99
"901",7
"902",7.01
"903",7.02
"904",7.03
"905",7.04
"906",7.05
"907",7.06
"908",7.07
"909",7.08
"910",7.09
"911",7.1
"912",7.11
"913",7.12
"914",7.13
"915",7.14
"916",7.15
"917",7.16
"918",7.17
"919",7.18
"920",7.19
"921",7.2
"922",7.21
"923",7.22
"924",7.23
"925",7.24
"926",7.25
"927",7.26
"928",7.27
"929",7.28
"930",7.29
"931",7.3
"932",7.31
"933",7.32
"934",7.33
"935",7.34
"936",7.35
"937",7.36
"938",7.37
"939",7.38
"940",7.39
"941",7.4
"942",7.41
"943",7.42
"944",7.43
"945",7.44
"946",7.45
"947",7.46
"948",7.47
"949",7.48
"950",7.49
"951",7.5
"952",7.51
"953",7.52
"954",7.53
"955",7.54
"956",7.55
"957",7.56
"958",7.57
"959",7.58
"960",7.59
"961",7.6
"962",7.61
"963",7.62
"964",7.63
"965",7.64
"966",7.65
"967",7.66
"968",7.67
"969",7.68
"970",7.69
"971",7.7
"972",7.71
"973",7.72
"974",7.73
"975",7.74
"976",7.75
"977",7.76
"978",7.77
"979",7.78
"980",7.79
"981",7.8
"982",7.81
"983",7.82
"984",7.83
"985",7.84
"986",7.85
"987",7.86
"988",7.87
"989",7.88
"990",7.89
"991",7.9
"992",7.91
"993",7.92
"994",7.93
"995",7.94
"996",7.95
"997",7.96
"998",7.97
"999",7.98
"1000",7.99
"1001",8
"1002",8.01
"1003",8.02
"1004",8.03
"1005",8.04
"1006",8.05
"1007",8.06
"1008",8.07
"1009",8.08
"1010",8.09
"1011",8.1
"1012",8.11
"1013",8.12
"1014",8.13
"1015",8.14
"1016",8.15
"1017",8.16
"1018",8.17
"1019",8.18
"1020",8.19
"1021",8.2
"1022",8.21
"1023",8.22
"1024",8.23
"1025",8.24
"1026",8.25
"1027",8.26
"1028",8.27
"1029",8.28
"1030",8.29
"1031",8.3
"1032",8.31
"1033",8.32
"1034",8.33
"1035",8.34
"1036",8.35
"1037",8.36
"1038",8.37
"1039",8.38
"1040",8.39
"1041",8.4
"1042",8.41
"1043",8.42
"1044",8.43
"1045",8.44
"1046",8.45
"1047",8.46
"1048",8.47
"1049",8.48
"1050",8.49
"1051",8.5
"1052",8.51
"1053",8.52
"1054",8.53
"1055",8.54
"1056",8.55
"1057",8.56
"1058",8.57
"1059",8.58
"1060",8.59
"1061",8.6
"1062",8.61
"1063",8.62
"1064",8.63
"1065",8.64
"1066",8.65
"1067",8.66
"1068",8.67
"1069",8.68
"1070",8.69
"1071",8.7
"1072",8.71
"1073",8.72
"1074",8.73
"1075",8.74
"1076",8.75
"1077",8.76
"1078",8.77
"1079",8.78
"1080",8.79
"1081",8.8
"1082",8.81
"1083",8.82
"1084",8.83
"1085",8.84
"1086",8.85
"1087",8.86
"1088",8.87
"1089",8.88
"1090",8.89
"1091",8.9
"1092",8.91
"1093",8.92
"1094",8.93
"1095",8.94
"1096",8.95
"1097",8.96
"1098",8.97
"1099",8.98
"1100",8.99
"1101",9
"1102",9.01
"1103",9.02
"1104",9.03
"1105",9.04
"1106",9.05
"1107",9.06
"1108",9.07
"1109",9.08
"1110",9.09
"1111",9.1
"1112",9.11
"1113",9.12
"1114",9.13
"1115",9.14
"1116",9.15
"1117",9.16
"1118",9.17
"1119",9.18
"1120",9.19
"1121",9.2
"1122",9.21
"1123",9.22
"1124",9.23
"1125",9.24
"1126",9.25
"1127",9.26
"1128",9.27
"1129",9.28
"1130",9.29
"1131",9.3
"1132",9.31
"1133",9.32
"1134",9.33
"1135",9.34
"1136",9.35
"1137",9.36
"1138",9.37
"1139",9.38
"1140",9.39
"1141",9.4
"1142",9.41
"1143",9.42
"1144",9.43
"1145",9.44
"1146",9.45
"1147",9.46
"1148",9.47
"1149",9.48
"1150",9.49
"1151",9.5
"1152",9.51
"1153",9.52
"1154",9.53
"1155",9.54
"1156",9.55
"1157",9.56
"1158",9.57
"1159",9.58
"1160",9.59
"1161",9.6
"1162",9.61
"1163",9.62
"1164",9.63
"1165",9.64
"1166",9.65
"1167",9.66
"1168",9.67
"1169",9.68
"1170",9.69
"1171",9.7
"1172",9.71
"1173",9.72
"1174",9.73
"1175",9.74
"1176",9.75
"1177",9.76
"1178",9.77
"1179",9.78
"1180",9.79
"1181",9.8
"1182",9.81
"1183",9.82
"1184",9.83
"1185",9.84
"1186",9.85
"1187",9.86
"1188",9.87
"1189",9.88
"1190",9.89
"1191",9.9
"1192",9.91
"1193",9.92
"1194",9.93
"1195",9.94
"1196",9.95
"1197",9.96
"1198",9.97
"1199",9.98
"1200",9.99
"1201",10
